Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.5664739357471467,43.6375,1.13481632789103,59.24,40.2,82.9,59.55,98.87563157081604,8.923776149749756,0.001,./models/resnet_02-0.4_check.pth
2,1.2068536684513091,57.43,1.0002011241623388,64.49,47.5,92.7,61.65,99.59103322029114,8.8724365234375,0.001,./models/resnet_02-0.4_check.pth
3,1.0308072974205018,64.15,0.7972482527121187,72.13,46.9,88.4,75.85,98.39421248435974,9.263797283172607,0.001,./models/resnet_02-0.4_check.pth
4,0.9139151849985123,68.1725,0.7398908248843666,74.67,55.4,91.1,76.25,98.91731333732605,8.935446739196777,0.001,./models/resnet_02-0.4_check.pth
5,0.8316837481498718,71.0975,0.6516384855388834,77.67,61.9,94.0,78.35,98.86975121498108,8.917066097259521,0.001,./models/resnet_02-0.4_check.pth
6,0.7627488713979721,73.5925,0.6406353482256492,77.98,56.7,90.7,82.25,98.65125370025635,8.914862155914307,0.001,./models/resnet_02-0.4_check.pth
7,0.7159131169915199,75.265,0.6398968701474012,77.97,57.3,94.1,76.5,98.89973473548889,9.173353910446167,0.001,./models/resnet_02-0.4_check.pth
8,0.6701297025680542,76.915,0.5893218082081253,80.02,59.9,92.5,81.85,99.08701062202454,9.412024021148682,0.001,./models/resnet_02-0.4_check.pth
9,0.6271279903888702,78.49,0.5621652385002722,80.96,65.1,92.3,82.65,99.0041778087616,8.7949697971344,0.001,./models/resnet_02-0.4_check.pth
10,0.5908911113619805,79.595,0.5306825023203993,81.77,71.7,90.6,82.45,98.81948018074036,8.774112462997437,0.001,./models/resnet_02-0.4_check.pth
11,0.5619527271151543,80.4775,0.551710516297684,81.61,64.1,94.3,85.65,98.75417137145996,8.959357023239136,0.001,./models/resnet_02-0.4_check.pth
12,0.5330925905704498,81.83,0.5268751382798004,82.73,67.2,94.1,83.7,99.32960343360901,8.911218404769897,0.001,./models/resnet_02-0.4_check.pth
13,0.5107445972681045,82.36,0.5124743603959906,83.24,70.7,94.7,83.05,99.3205897808075,9.046238899230957,0.001,./models/resnet_02-0.4_check.pth
14,0.48184696945548056,83.525,0.4910519214573141,83.31,61.6,93.9,83.6,98.76425623893738,9.25907039642334,0.001,./models/resnet_02-0.4_check.pth
15,0.46021426253318787,84.18,0.4908042641195912,83.96,65.2,94.9,85.5,96.91368460655212,8.954203128814697,0.001,./models/resnet_02-0.4_check.pth
16,0.4390002566039562,84.75,0.47053413219547596,84.49,68.0,95.1,85.45,92.81750106811523,8.220990657806396,0.001,./models/resnet_02-0.4_check.pth
