Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.5788842200279236,42.645,1.1758569701791952,57.55,35.3,79.8,60.4,93.22584939002991,8.447153091430664,0.001,./models/resnet_02-0.5_check.pth
2,1.216654988193512,56.83,1.0515707261360492,62.66,35.5,85.2,61.5,93.19235944747925,8.439468383789062,0.001,./models/resnet_02-0.5_check.pth
3,1.0478417395591735,63.485,0.8021273314714813,71.85,51.1,90.4,70.25,93.10503387451172,8.600004434585571,0.001,./models/resnet_02-0.5_check.pth
4,0.9277697473526001,68.105,0.7375535419978463,74.4,50.6,92.2,75.75,93.07262563705444,8.285714387893677,0.001,./models/resnet_02-0.5_check.pth
5,0.8421551185846329,70.85,0.6257334139209967,78.34,65.5,88.8,79.25,93.06386232376099,8.166843175888062,0.001,./models/resnet_02-0.5_check.pth
6,0.7728439934492112,73.505,0.628399828886286,78.63,64.1,95.1,79.65,93.41914248466492,8.439329147338867,0.001,./models/resnet_02-0.5_check.pth
7,0.7222041504383088,75.185,0.6293378452213999,78.48,45.4,93.3,79.1,92.28310322761536,8.571534395217896,0.001,./models/resnet_02-0.5_check.pth
8,0.6752839530944824,76.67,0.6041627864177805,79.67,56.1,94.9,76.85,93.21625471115112,8.459230422973633,0.001,./models/resnet_02-0.5_check.pth
9,0.6345621060013771,78.145,0.535717446361475,81.56,60.8,93.8,85.7,93.15599703788757,8.348196744918823,0.001,./models/resnet_02-0.5_check.pth
10,0.5984594848036766,79.5275,0.5243721121487717,82.24,61.0,92.4,85.55,93.14547872543335,8.773315668106079,0.001,./models/resnet_02-0.5_check.pth
11,0.5686472597360611,80.3475,0.5002624264683205,83.32,72.5,92.4,83.5,93.41200613975525,8.268994569778442,0.001,./models/resnet_02-0.5_check.pth
12,0.5411418037354946,81.355,0.4968476158755715,82.73,65.2,95.3,85.44999999999999,93.58101344108582,8.337581157684326,0.001,./models/resnet_02-0.5_check.pth
13,0.5105869095563889,82.4275,0.47991453898779024,83.59,70.2,94.8,85.35,93.48019528388977,8.575214385986328,0.001,./models/resnet_02-0.5_check.pth
14,0.4916459752678871,83.1575,0.489420466797468,83.4,69.7,93.1,84.25,93.35609984397888,8.791350364685059,0.001,./models/resnet_02-0.5_check.pth
15,0.4704531663119793,83.7275,0.46626960458799294,84.42,71.8,93.3,86.35,93.21739673614502,8.481626510620117,0.001,./models/resnet_02-0.5_check.pth
16,0.44249749569296837,84.6725,0.4962140836953052,83.89,68.0,95.6,88.1,93.18040680885315,8.240274429321289,0.001,./models/resnet_02-0.5_check.pth
17,0.4320446318268776,85.0525,0.45052108766671756,85.27,72.7,94.2,85.85,93.0943853855133,8.711770296096802,0.001,./models/resnet_02-0.5_check.pth
18,0.40590349937677384,86.0475,0.46296657572467675,84.7,70.7,92.0,86.95,93.72740459442139,8.025213718414307,0.001,./models/resnet_02-0.5_check.pth
19,0.3974391846299171,86.1975,0.48290346743473517,84.04,64.3,94.4,85.75,93.42734289169312,8.193312644958496,0.001,./models/resnet_02-0.5_check.pth
20,0.3783431917786598,86.85,0.4466899446845531,85.47,76.0,93.6,85.75,93.22007155418396,8.554340600967407,0.001,./models/resnet_02-0.5_check.pth
21,0.3592981560200453,87.45,0.46646441358584945,85.59,73.2,94.5,85.3,93.25030183792114,8.129807233810425,0.001,./models/resnet_02-0.5_check.pth
22,0.3493526445567608,87.83,0.4451268875001433,85.67,66.5,94.2,86.15,92.9992938041687,8.28044867515564,0.001,./models/resnet_02-0.5_check.pth
23,0.333177850612998,88.46,0.470769614729578,85.38,67.7,94.2,87.35,93.41255307197571,8.596718549728394,0.001,./models/resnet_02-0.5_check.pth
24,0.3261853326380253,88.7325,0.46577536724745844,85.37,70.3,94.9,86.9,93.2165093421936,8.75592851638794,0.001,./models/resnet_02-0.5_check.pth
25,0.31343569484055045,89.0075,0.46565917959234443,85.92,71.9,94.1,85.95,93.24697494506836,8.67349100112915,0.001,./models/resnet_02-0.5_check.pth
26,0.29917761622965333,89.6825,0.4577466514134131,86.31,73.9,93.9,88.4,93.53715944290161,8.404866456985474,0.001,./models/resnet_02-0.5_check.pth
27,0.2882496258214116,89.805,0.462641482994246,86.26,74.9,93.1,89.45,93.44106602668762,8.317691802978516,0.001,./models/resnet_02-0.5_check.pth
28,0.27764284816384316,90.49,0.4780726896587033,85.59,72.7,95.2,88.65,92.74408793449402,8.242202043533325,0.001,./models/resnet_02-0.5_check.pth
29,0.219949490006268,92.5025,0.45031895018673646,87.23,76.6,95.6,88.6,93.24235510826111,8.427917003631592,0.0005,./models/resnet_02-0.5_check.pth
