Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.8477127173423766,30.76,1.5942824717146902,42.75,14.1,79.0,46.7,100.63634133338928,9.563281536102295,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
2,1.4961243010520935,45.4,1.2657085727578916,53.65,15.8,77.0,56.0,99.69995379447937,9.930640459060669,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
3,1.331244449520111,52.0,1.1298292475386549,59.52,37.1,81.7,57.15,100.14138746261597,9.792624711990356,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
4,1.2289239052772523,56.495,1.0274439185096051,63.15,31.7,82.4,64.7,100.32242774963379,9.488916397094727,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
5,1.1466550749301911,59.1975,1.063764522250849,62.99,42.3,80.1,63.150000000000006,100.61415529251099,9.585380554199219,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
6,1.0951232523918153,61.1875,0.9518640445063289,66.58,40.6,86.6,69.5,102.04096126556396,9.679254055023193,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
7,1.0252141389369964,63.79,0.8420321519572895,70.48,51.6,83.4,75.30000000000001,103.36605954170227,9.591541528701782,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
8,0.9771895021915435,65.955,0.8361399364642823,70.34,46.8,86.5,75.19999999999999,100.494544506073,9.576053142547607,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
9,0.9250078700065613,67.6725,0.7626348610360402,73.03,56.6,92.2,71.05,100.00276803970337,9.872528314590454,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
10,0.9063497475385666,68.1925,0.7600419476104621,73.58,53.2,92.3,74.75,101.31133985519409,9.951887845993042,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
11,0.8623245878696442,69.5425,0.7106957923704252,74.83,56.4,90.0,75.1,101.57949233055115,9.550896406173706,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
12,0.840655834531784,70.705,0.6863325330229423,75.94,53.0,90.9,77.9,101.85848569869995,9.579436302185059,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
13,0.8010196992874146,71.985,0.6409848273728793,78.0,64.3,87.9,80.35,100.75188517570496,9.496451139450073,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
14,0.7809085809826851,72.7525,0.6567527911843012,76.85,52.7,91.0,81.3,100.67047667503357,9.453237295150757,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
15,0.7572362498283386,73.6,0.667010787374581,77.22,45.4,93.6,82.4,100.57011771202087,9.43675708770752,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
16,0.7315285021662712,74.57,0.6844806421441011,77.92,67.0,90.2,79.15,100.22550463676453,9.720252513885498,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
17,0.7095245849370957,75.38,0.6015378783840817,78.91,55.5,93.0,80.75,100.5026741027832,9.889409303665161,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
18,0.7194791638612748,74.86,0.6375615848615147,78.29,67.3,90.5,74.95,100.31597566604614,9.53616213798523,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
19,0.680120872938633,76.3125,0.618918059447322,78.28,54.9,89.1,83.7,100.83658742904663,9.850616931915283,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
20,0.6541983461618424,77.23,0.613992651192525,78.82,57.8,91.1,80.80000000000001,99.84400844573975,9.61106538772583,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
21,0.6999728235840798,75.5775,0.5771994413659215,80.13,61.1,91.7,83.85,101.8554892539978,9.636829137802124,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
22,0.6737247092843056,76.2225,0.5714289543632501,80.3,65.2,93.1,83.9,100.17307662963867,9.682871103286743,0.0005,./models_mobilenet/mobilenet_01-do-0.5_best.pth
