Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
45,0.10008349733632058,96.665,0.38284335544635245,89.82,75.8,96.4,89.7,100.99440169334412,9.326710224151611,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
46,0.09724600540082902,96.6125,0.3823908705810794,90.13,77.5,96.6,90.55000000000001,100.63675665855408,9.070382118225098,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
47,0.0956266581889242,96.6325,0.3857976291964211,90.06,75.8,96.5,90.85,101.057790517807,9.121177673339844,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
48,0.09631857155486942,96.6325,0.38564596280912883,90.08,77.5,96.7,90.45,101.04627275466919,9.262114763259888,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
49,0.08038074803454802,97.215,0.38046366897351297,90.47,78.2,96.4,90.8,101.20625686645508,9.146727800369263,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
50,0.0738740078725852,97.4075,0.3991037040709598,90.26,77.4,96.9,91.19999999999999,98.97042298316956,9.34566855430603,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
51,0.07518735144231468,97.4425,0.3922400545776943,90.26,77.1,96.3,91.1,99.56527137756348,9.220500230789185,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
52,0.07638189093675464,97.395,0.3829495685125013,90.5,79.2,97.2,90.9,99.05299353599548,9.342906475067139,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
53,0.07066408296553418,97.585,0.38957522901129066,90.76,79.5,96.8,91.80000000000001,98.78103852272034,9.077697992324829,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
54,0.07291268436806277,97.605,0.39151595892784385,90.47,78.4,96.9,91.44999999999999,100.46671962738037,9.162248134613037,6.25e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
55,0.06492789524444378,97.77,0.38559991713606206,90.54,79.3,96.6,91.1,99.45571875572205,9.02925443649292,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
56,0.06248700222223997,97.8825,0.38915378772192444,90.76,79.1,96.9,91.69999999999999,98.98752284049988,9.262485980987549,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
57,0.06393209893214516,97.8475,0.39481662093772285,90.63,77.0,97.0,91.8,99.3115565776825,9.172683238983154,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
58,0.061983665198180826,97.8775,0.3913753167979944,90.78,79.0,96.5,91.65,100.50452542304993,9.060807466506958,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
59,0.059947689845925196,97.96,0.39614644434558566,90.78,80.5,96.9,91.65,101.0767674446106,8.764838933944702,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
60,0.06218214220451191,97.885,0.3961637702019178,90.58,79.2,96.6,91.3,100.79205989837646,9.059721946716309,3.125e-05,./models_mobilenet/mobilenet_03-0.3_best.pth
