Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.5725168033599854,41.505,1.6247046696152656,42.94,18.5,69.8,40.849999999999994,24.21639084815979,4.321171760559082,./models_mobilenet/mobilenet_01-64_best.pth
2,1.1671474214553832,58.1875,1.3732442721060127,54.76,25.8,90.5,47.75,23.935797452926636,4.533132076263428,./models_mobilenet/mobilenet_01-64_best.pth
3,0.9679298316001892,65.74,1.0055635343691347,65.06,46.7,83.8,68.25,24.11289620399475,4.624666929244995,./models_mobilenet/mobilenet_01-64_best.pth
4,0.8399333249568939,70.69,0.9334292390923591,67.78,38.7,87.8,76.7,24.145405292510986,4.482330799102783,./models_mobilenet/mobilenet_01-64_best.pth
5,0.7401385809898376,74.0825,1.0529327726193294,65.68,28.2,93.1,67.1,24.12713050842285,4.473572731018066,./models_mobilenet/mobilenet_01-64_best.pth
6,0.6593717612266541,77.145,0.7943730029710538,72.25,50.6,89.1,75.45,24.087246894836426,4.444912910461426,./models_mobilenet/mobilenet_01-64_best.pth
7,0.584025464630127,79.745,0.8364718228958214,72.21,40.7,89.4,73.69999999999999,23.87766170501709,4.531132459640503,./models_mobilenet/mobilenet_01-64_best.pth
8,0.5210159225463867,81.735,0.787508377318929,73.31,57.1,88.4,71.1,24.25272035598755,4.384486198425293,./models_mobilenet/mobilenet_01-64_best.pth
9,0.44591014931201933,84.3575,0.8655482028035602,73.02,30.5,91.1,76.55000000000001,23.872496128082275,4.541920900344849,./models_mobilenet/mobilenet_01-64_best.pth
10,0.4186346363067627,85.4425,0.8315474665278841,73.94,59.0,90.7,76.95,23.890767812728882,4.455698490142822,./models_mobilenet/mobilenet_01-64_best.pth
11,0.3597665330171585,87.4575,0.8544548835581655,74.73,52.1,92.0,77.05,23.780924797058105,4.404437780380249,./models_mobilenet/mobilenet_01-64_best.pth
12,0.2961197794735432,89.65,0.9570193154037379,73.23,50.3,91.9,75.15,23.888691186904907,4.390564441680908,./models_mobilenet/mobilenet_01-64_best.pth
13,0.2679805225253105,90.5725,0.8940330630844566,75.62,54.6,89.0,79.5,24.249816179275513,4.408219814300537,./models_mobilenet/mobilenet_01-64_best.pth
14,0.22208352264761924,92.26,1.0467990058812366,73.2,47.1,88.8,78.4,24.246084213256836,4.267484426498413,./models_mobilenet/mobilenet_01-64_best.pth
15,0.20233816194534301,92.7875,1.051892655148248,74.08,57.2,94.3,74.85,23.99176025390625,4.523983716964722,./models_mobilenet/mobilenet_01-64_best.pth
16,0.18976634542942047,93.4325,1.0588890886420657,74.43,51.0,87.1,76.5,23.861823320388794,4.388340711593628,./models_mobilenet/mobilenet_01-64_best.pth
17,0.17485769473314286,93.9675,0.993580344186467,75.01,56.2,90.5,76.5,24.00172710418701,4.537059307098389,./models_mobilenet/mobilenet_01-64_best.pth
18,0.1490742567241192,94.77,1.0897709777590576,75.27,50.8,88.4,79.6,23.950230836868286,4.39119815826416,./models_mobilenet/mobilenet_01-64_best.pth
19,0.1547137894630432,94.595,1.1163015300111405,74.29,52.4,90.5,75.44999999999999,23.822975635528564,4.473364591598511,./models_mobilenet/mobilenet_01-64_best.pth
20,0.13317933535277843,95.3725,1.0871305881412165,75.16,56.0,88.3,77.1,24.011363983154297,4.473377466201782,./models_mobilenet/mobilenet_01-64_best.pth
