Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.860344961452484,30.06,1.3805279387071872,49.2,36.1,65.4,47.6,117.50941896438599,9.732256174087524,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
2,1.41946254529953,48.335,1.1254140255740657,59.72,21.2,84.4,61.65,116.90927577018738,10.027416706085205,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
3,1.1680735366821289,58.23,0.8337660734645855,69.8,37.6,90.1,74.8,117.29720044136047,9.343633651733398,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
4,0.9948993983745575,64.8275,0.7231648019232308,74.57,57.6,89.2,74.85,117.65469646453857,9.410576343536377,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
5,0.8818115701198578,69.4875,0.651391722952215,77.35,43.7,90.8,83.35,117.72745418548584,9.480612516403198,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
6,0.805764492058754,71.9,0.5956256414135805,79.64,54.9,93.1,79.85,116.87369275093079,9.554161548614502,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
7,0.7497611455917358,73.9025,0.5666404417552315,80.82,64.2,93.7,80.4,116.76176857948303,9.772189378738403,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
8,0.6944305367469787,75.9675,0.5257130720364019,82.34,71.3,92.6,82.5,117.66580891609192,10.307633638381958,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
9,0.6545542104959488,77.28,0.5071331265489586,83.0,62.7,95.2,84.15,117.79234099388123,10.218153476715088,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
10,0.6178768747806549,78.92,0.473559497302166,83.75,68.8,95.0,84.75,116.6172137260437,10.168604135513306,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
11,0.5840132778286934,79.87,0.4440897926807213,84.36,64.7,94.0,83.9,117.0845353603363,9.74887466430664,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
12,0.55912734375,80.83,0.45591020194022136,84.54,74.4,94.9,84.0,118.06648397445679,10.111077547073364,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
13,0.5340529419898987,81.6075,0.4497711302879186,84.61,65.4,96.7,84.1,116.72574496269226,10.119896173477173,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
14,0.5011738408088684,82.525,0.42163973176084196,85.69,67.5,96.6,84.1,117.06117677688599,10.160009622573853,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
15,0.48750793778300283,83.1675,0.40917036291092823,86.17,66.5,95.9,86.45,117.01908612251282,10.159291744232178,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
16,0.46898677006959916,83.7375,0.3778585866807749,87.31,63.2,96.5,88.35,116.89045906066895,10.026550769805908,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
17,0.45126651120781897,84.285,0.3623876161296843,87.64,78.4,97.0,87.1,117.13807487487793,9.726411819458008,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
18,0.4357986864686012,84.94,0.35001213309732965,87.96,76.4,96.4,89.85,117.30936121940613,9.576672554016113,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
19,0.41591795495450495,85.45,0.35449453673292747,88.2,76.5,96.0,87.69999999999999,117.00595545768738,9.44082260131836,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
20,0.40277448880672456,86.1425,0.35354300300938823,88.17,73.8,96.3,89.65,116.4306468963623,9.5747811794281,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
21,0.3873637398779392,86.5075,0.33073012551036884,88.68,68.6,96.4,89.75,116.7583875656128,9.608455419540405,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
22,0.37325219528079034,87.0375,0.3428650301674339,88.52,75.4,96.5,89.8,116.5170681476593,9.761873960494995,0.0005,./models_efficientnet/efficientnet_03-0.5_best.pth
